Bolsas,cepa,concentracion,npt,peso,pesog,puni,Experimento
10,EA575,1.00E+06,8,893.8,0.8938,0.11173,Exp1
10,EA575,1.00E+06,12,1152.4,1.1524,0.09603,Exp1
10,EA575,1.00E+06,9,845.5,0.8455,0.09394,Exp1
10,EA575,1.00E+06,12,1200.4,1.2004,0.10003,Exp1
10,EA575,1.00E+06,3,255.7,0.2557,0.08523,Exp1
10,EA575,1.00E+06,5,529.4,0.5294,0.10588,Exp1
10,EA575,1.00E+06,8,823.4,0.8234,0.10293,Exp1
10,EA575,1.00E+06,5,559.2,0.5592,0.11184,Exp1
11,EA575,1.00E+07,4,615,0.615,0.15375,Exp1
11,EA575,1.00E+07,6,1030.7,1.0307,0.17178,Exp1
11,EA575,1.00E+07,8,1139.2,1.1392,0.1424,Exp1
11,EA575,1.00E+07,6,659.1,0.6591,0.10985,Exp1
11,EA575,1.00E+07,11,961.4,0.9614,0.0874,Exp1
11,EA575,1.00E+07,8,1056.5,1.0565,0.13206,Exp1
11,EA575,1.00E+07,3,256.2,0.2562,0.0854,Exp1
11,EA575,1.00E+07,7,804.3,0.8043,0.1149,Exp1
12,EA575,1.00E+08,12,1198.3,1.1983,0.09986,Exp1
12,EA575,1.00E+08,14,1433,1.433,0.10236,Exp1
12,EA575,1.00E+08,9,730.3,0.7303,0.08114,Exp1
12,EA575,1.00E+08,9,854.2,0.8542,0.09491,Exp1
12,EA575,1.00E+08,9,812,0.812,0.09022,Exp1
12,EA575,1.00E+08,8,719.7,0.7197,0.08996,Exp1
12,EA575,1.00E+08,9,712.6,0.7126,0.07918,Exp1
12,EA575,1.00E+08,6,789.5,0.7895,0.13158,Exp1
13,FZB42,control,1,78.2,0.0782,0.0782,Exp1
13,FZB42,control,2,226.6,0.2266,0.1133,Exp1
13,FZB42,control,11,1215.2,1.2152,0.11047,Exp1
13,FZB42,control,3,300.6,0.3006,0.1002,Exp1
13,FZB42,control,11,1018.6,1.0186,0.0926,Exp1
13,FZB42,control,7,757.5,0.7575,0.10821,Exp1
13,FZB42,control,5,500.1,0.5001,0.10002,Exp1
13,FZB42,control,8,719.3,0.7193,0.08991,Exp1
