id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
53,7,EA575,control,25.15857,14.438193,0.7655633,0.15735897,60,2.5766852,1.195628,127.5535552,152.7121252,0.046426396,Exp1
54,7,EA575,control,32.30422,18.896204,1.0563511,0.15762237,54,1.8257729,1.8275992,146.592134,178.896354,0.063294953,Exp1
55,7,EA575,control,29.718496,15.504329,0.765991,0.14744556,38,1.8052521,1.8494301,113.7209992,143.4394952,0.055244705,Exp1
56,7,EA575,control,,,,,,,,,,,Exp1
57,8,EA575,1.00E+04,27.729786,13.090132,0.59308517,0.1387419,36,1.9855423,0.8125467,79.33782609,107.0676121,0.048020624,Exp1
58,8,EA575,1.00E+04,24.293247,13.53333,0.7155633,0.15992342,44,2.9582922,0.555023,121.3616451,145.6548921,0.046129436,Exp1
59,8,EA575,1.00E+04,13.047233,7.5293374,0.4245352,0.1699013,34,2.7866135,1.3438798,177.9217182,190.9689512,0.042246098,Exp1
60,8,EA575,1.00E+04,18.824022,11.351497,0.65612674,0.1603996,50,3.9767902,0.6911264,117.1798664,136.0038884,0.043674304,Exp1
61,8,EA575,1.00E+04,30.871521,16.213995,0.80995035,0.13895386,14,0.79590225,5.196912,36.05699148,66.92851248,0.064088256,Exp1
62,8,EA575,1.00E+04,15.040662,8.976401,0.51830864,0.16395989,34,2.6011662,0.9514397,93.78604065,108.8267027,0.044150202,Exp1
63,8,EA575,1.00E+04,18.492502,8.505146,0.34621018,0.13425836,41,3.3337455,1.026662,126.4591232,144.9516252,0.044110514,Exp1
64,8,EA575,1.00E+04,23.35155,14.709516,0.8925866,0.17145045,40,2.9920986,0.57445085,112.1275642,135.4791142,0.047399802,Exp1
65,9,EA575,1.00E+05,13.164617,8.581884,0.54878706,0.18258579,39,3.312441,1.3537319,83.80000941,96.96462641,0.039391386,Exp1
66,9,EA575,1.00E+05,32.780796,21.089985,1.2088183,0.18435238,22,0.93553096,8.921855,79.0186001,111.7993961,0.061788752,Exp1
67,9,EA575,1.00E+05,21.534746,14.549274,0.99930084,0.18351994,54,3.0219202,1.569521,132.5916393,154.1263853,0.048614625,Exp1
68,9,EA575,1.00E+05,32.780796,21.089985,1.2088183,0.18435238,21,0.8930068,1.4317265,79.0186001,111.7993961,0.061788752,Exp1
69,9,EA575,1.00E+05,29.309174,17.079636,0.87560475,0.17128481,33,1.6829499,1.0214038,109.8012579,139.1104319,0.063115794,Exp1
70,9,EA575,1.00E+05,17.545069,12.006808,0.7223611,0.20356168,31,2.2856987,2.329023,146.9691514,164.5142204,0.062223998,Exp1
71,9,EA575,1.00E+05,25.816778,12.963813,0.6378671,0.13798416,57,7.3082113,0.8929146,127.0399746,152.8567526,0.042262392,Exp1
